facility_name,name_url,county,epa_class_simple,srn,violation_count,most_recent_vn
DRAYTON IRON AND METAL CO,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B5465' target='_blank'>DRAYTON IRON AND METAL CO</a>,Oakland,True Minor ,B5465,4.0,2023-08-01
VIANT MEDICAL INC.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N0795' target='_blank'>VIANT MEDICAL INC.</a>,Kent,True Minor ,N0795,4.0,2019-10-29
ROSEVILLE CRUSHED CONCRETE,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6658' target='_blank'>ROSEVILLE CRUSHED CONCRETE</a>,Macomb,True Minor ,N6658,4.0,2023-08-30
KAWASAKI MOTORS CORP USA,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0677' target='_blank'>KAWASAKI MOTORS CORP USA</a>,Kent,Major ,P0677,4.0,2023-07-31
INTERTAPE POLYMER GROUP,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A6220' target='_blank'>INTERTAPE POLYMER GROUP</a>,Saint Clair,Major ,A6220,3.0,2023-07-18
CWC TEXTRON,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1909' target='_blank'>CWC TEXTRON</a>,Muskegon,Major ,B1909,3.0,2023-08-31
JAGUAR ENERGY - WEXFORD 10 FACILITY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B5588' target='_blank'>JAGUAR ENERGY - WEXFORD 10 FACILITY</a>,Wexford,Synthetic Minor ,B5588,3.0,2021-11-08
"ALUDYNE MONTAGUE, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1925' target='_blank'>ALUDYNE MONTAGUE, LLC</a>",Muskegon,Synthetic Minor ,B1925,3.0,2022-09-30
BAY AREA DISPOSAL,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P1104' target='_blank'>BAY AREA DISPOSAL</a>,Benzie,True Minor ,P1104,3.0,2020-12-11
"FAURECIA INTERIOR SYSTEMS SALINE, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2063' target='_blank'>FAURECIA INTERIOR SYSTEMS SALINE, LLC</a>",Washtenaw,Major ,B2063,3.0,2021-10-12
MAGNUM COFFEE ROASTERY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6798' target='_blank'>MAGNUM COFFEE ROASTERY</a>,Ottawa,True Minor ,N6798,3.0,2022-05-09
DTE ELECTRIC COMPANY - RENAISSANCE POWER PLANT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6873' target='_blank'>DTE ELECTRIC COMPANY - RENAISSANCE POWER PLANT</a>,Montcalm,Major ,N6873,3.0,2021-02-11
TOEFCO ENGINEERED COATING SYSTEMS,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N2610' target='_blank'>TOEFCO ENGINEERED COATING SYSTEMS</a>,Berrien,Major ,N2610,3.0,2021-02-16
INTEVA PRODUCTS ADRIAN OPERATIONS,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B6027' target='_blank'>INTEVA PRODUCTS ADRIAN OPERATIONS</a>,Lenawee,Major ,B6027,3.0,2023-07-12
TUSCOLA ENERGY - NIXON FARMS,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N1586' target='_blank'>TUSCOLA ENERGY - NIXON FARMS</a>,Tuscola,Synthetic Minor ,N1586,3.0,2022-03-17
CROWN GROUP SHELBY TWP PLANT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7426' target='_blank'>CROWN GROUP SHELBY TWP PLANT</a>,Macomb,True Minor ,N7426,3.0,2023-03-28
"QUALITY ROASTING, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P1000' target='_blank'>QUALITY ROASTING, LLC</a>",Tuscola,True Minor ,P1000,3.0,2023-03-30
BRENT RUN LANDFILL,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N5987' target='_blank'>BRENT RUN LANDFILL</a>,Genesee,Major ,N5987,3.0,2023-04-05
SHELBY CABINETS,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7999' target='_blank'>SHELBY CABINETS</a>,Macomb,Synthetic Minor ,N7999,3.0,2023-07-28
ANR PIPELINE CO -  WOOLFOLK COMPRESSOR STATION,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B7220' target='_blank'>ANR PIPELINE CO -  WOOLFOLK COMPRESSOR STATION</a>,Mecosta,Major ,B7220,3.0,2021-11-09
"MOD INTERIORS, INCORPORATED","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7499' target='_blank'>MOD INTERIORS, INCORPORATED</a>",Saint Clair,Synthetic Minor ,N7499,3.0,2023-01-31
"LAYLINE OIL & GAS, LLC- ST. A2","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P1075' target='_blank'>LAYLINE OIL & GAS, LLC- ST. A2</a>",Clare,Synthetic Minor ,P1075,3.0,2023-08-22
"ALBAR INDUSTRIES, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N0802' target='_blank'>ALBAR INDUSTRIES, INC.</a>",Lapeer,Major ,N0802,3.0,2022-04-05
"STATE CRUSHING, INC.-EAST","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=M3526' target='_blank'>STATE CRUSHING, INC.-EAST</a>",Macomb,True Minor ,M3526,3.0,2022-10-20
FORD MOTOR COMPANY - FLAT ROCK ASSEMBLY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N0929' target='_blank'>FORD MOTOR COMPANY - FLAT ROCK ASSEMBLY</a>,Wayne,Major ,N0929,3.0,2022-02-18
NEWBERRY WOOD ENTERPRISES,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N3624' target='_blank'>NEWBERRY WOOD ENTERPRISES</a>,Luce,True Minor ,N3624,3.0,2020-10-06
BASF TODA AMERICA LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0089' target='_blank'>BASF TODA AMERICA LLC</a>,Calhoun,True Minor ,P0089,3.0,2020-10-06
"HURON CASTING, INC (BLUE DIAMOND STEEL CASTING)","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B7013' target='_blank'>HURON CASTING, INC (BLUE DIAMOND STEEL CASTING)</a>",Huron,Major ,B7013,3.0,2022-10-11
REEFWORKS CANADA INCORPORATED - SIMPSON T,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6235' target='_blank'>REEFWORKS CANADA INCORPORATED - SIMPSON T</a>,Kalkaska,Synthetic Minor ,N6235,3.0,2022-01-19
BURKE INDUSRIAL SALES INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6647' target='_blank'>BURKE INDUSRIAL SALES INC</a>,Kent,Unknown,N6647,3.0,2023-09-01
AXALTA COATING SYSTEMS USA LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A3569' target='_blank'>AXALTA COATING SYSTEMS USA LLC</a>,Macomb,Major ,A3569,3.0,2023-08-17
CAPITAL REGION AIRPORT AUTHORITY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N8035' target='_blank'>CAPITAL REGION AIRPORT AUTHORITY</a>,Clinton,Major ,N8035,3.0,2021-12-21
"PLASTIC TRIM INTERNATIONAL, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N3592' target='_blank'>PLASTIC TRIM INTERNATIONAL, INC.</a>",Iosco,True Minor ,N3592,3.0,2022-05-04
